epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,600.892,1.60814,1.94037,1.14855,0.59986,0.2738,0.29514,0.16976,1.45117,1.27892,1.0718,0.00333254,0.00333254,0.00333254
2,1171.91,1.54973,1.44071,1.11993,0.56907,0.31386,0.33787,0.19452,1.42995,1.18504,1.06843,0.00659988,0.00659988,0.00659988
3,1734.19,1.57824,1.36181,1.13584,0.56027,0.32462,0.34584,0.19804,1.41713,1.15496,1.07196,0.00980122,0.00980122,0.00980122
4,2292.53,1.5632,1.30384,1.13417,0.6164,0.33903,0.37638,0.22065,1.35976,1.07572,1.04881,0.009703,0.009703,0.009703
5,2850.33,1.51074,1.22819,1.11396,0.63692,0.35811,0.39904,0.23469,1.32415,1.02453,1.03568,0.009604,0.009604,0.009604
6,3409.34,1.48293,1.18768,1.10161,0.63728,0.37187,0.41491,0.24807,1.29789,0.98909,1.0254,0.009505,0.009505,0.009505
7,3965.86,1.45823,1.15699,1.09172,0.65845,0.38025,0.4279,0.25612,1.28162,0.96487,1.01706,0.009406,0.009406,0.009406
8,4522.5,1.43861,1.13319,1.08355,0.65171,0.39484,0.43748,0.26408,1.26655,0.94779,1.01064,0.009307,0.009307,0.009307
9,5079.46,1.4277,1.1181,1.07894,0.66893,0.39184,0.44443,0.26854,1.25709,0.93441,1.00718,0.009208,0.009208,0.009208
10,5635.4,1.41591,1.10345,1.07399,0.66571,0.39935,0.44992,0.272,1.24976,0.9246,1.00409,0.009109,0.009109,0.009109
11,6191.44,1.40758,1.09268,1.06953,0.67539,0.40009,0.45423,0.27534,1.2421,0.91574,1.00128,0.00901,0.00901,0.00901
12,6747.32,1.40138,1.08452,1.0678,0.67727,0.40287,0.45692,0.27776,1.23707,0.909,0.99921,0.008911,0.008911,0.008911
13,7303.16,1.39206,1.07467,1.06301,0.68227,0.40414,0.4599,0.27979,1.23353,0.90418,0.9976,0.008812,0.008812,0.008812
14,7858.4,1.38759,1.06787,1.06142,0.68485,0.40456,0.46189,0.28143,1.23086,0.89995,0.99641,0.008713,0.008713,0.008713
15,8414.2,1.38591,1.06411,1.06022,0.68316,0.40729,0.46367,0.28286,1.22857,0.89679,0.99543,0.008614,0.008614,0.008614
