epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,585.159,1.57603,1.95507,1.15158,0.567,0.29321,0.31193,0.1793,1.42331,1.25049,1.07203,0.00333175,0.00333175,0.00333175
2,1165.51,1.4981,1.37976,1.10864,0.57062,0.32046,0.3438,0.19854,1.39318,1.15317,1.0593,0.0065991,0.0065991,0.0065991
3,1728.24,1.5204,1.29786,1.1201,0.56317,0.31897,0.33468,0.18946,1.41651,1.20375,1.08543,0.00980045,0.00980045,0.00980045
4,2283.83,1.51202,1.23801,1.12169,0.6272,0.35208,0.38802,0.22667,1.34721,1.04322,1.05203,0.009703,0.009703,0.009703
5,2845.72,1.45265,1.15724,1.09861,0.63871,0.3732,0.41183,0.24331,1.29858,0.98122,1.03337,0.009604,0.009604,0.009604
6,3399.57,1.42135,1.11628,1.08418,0.64392,0.3896,0.43311,0.25958,1.26443,0.93751,1.02121,0.009505,0.009505,0.009505
7,3952.11,1.39811,1.08333,1.07564,0.67597,0.39501,0.44762,0.26983,1.24553,0.90816,1.0129,0.009406,0.009406,0.009406
8,4505,1.38089,1.06154,1.06823,0.67031,0.41117,0.45703,0.27708,1.22863,0.89152,1.00622,0.009307,0.009307,0.009307
9,5057.21,1.36971,1.0457,1.0639,0.6805,0.41383,0.46591,0.28433,1.21717,0.87574,1.0027,0.009208,0.009208,0.009208
10,5653.26,1.35926,1.03217,1.05858,0.68762,0.41898,0.47375,0.29001,1.20487,0.86076,0.99762,0.009109,0.009109,0.009109
11,6409.21,1.34875,1.02129,1.05431,0.69816,0.42495,0.47973,0.29409,1.19964,0.85226,0.99482,0.00901,0.00901,0.00901
12,6962.28,1.34555,1.017,1.05289,0.70964,0.4247,0.48373,0.29736,1.19346,0.84491,0.99217,0.008911,0.008911,0.008911
13,7515.01,1.33869,1.00635,1.05023,0.70562,0.43192,0.48839,0.30013,1.18981,0.83983,0.99073,0.008812,0.008812,0.008812
14,8068.01,1.33159,0.99574,1.04644,0.71252,0.43023,0.49045,0.30196,1.18712,0.83571,0.98972,0.008713,0.008713,0.008713
15,8621.21,1.32883,0.99359,1.0459,0.71593,0.4325,0.4934,0.30391,1.18441,0.83194,0.98854,0.008614,0.008614,0.008614
16,9177.01,1.32386,0.98976,1.04415,0.72565,0.43084,0.4954,0.30541,1.18236,0.82928,0.98762,0.008515,0.008515,0.008515
17,9729.54,1.31777,0.9828,1.04061,0.7184,0.43437,0.49679,0.30623,1.18024,0.82638,0.98669,0.008416,0.008416,0.008416
18,10282.1,1.31514,0.9772,1.04002,0.71621,0.43702,0.49771,0.30716,1.17831,0.8242,0.98592,0.008317,0.008317,0.008317
19,10842.4,1.31105,0.97197,1.0389,0.71845,0.43631,0.49832,0.30794,1.17656,0.82211,0.98516,0.008218,0.008218,0.008218
